投诉编号,投诉品牌,投诉车系,问题简述,典型问题,投诉时间,投诉状态
486518,一汽马自达,2020款 2.0L 自动 两驱 蓝天探索版,一汽马自达CX-4车身异响希望厂家解决,车身附件及电器车身异响,2020-06-21 09:46:31.703,信息审核
486510,一汽-大众,2017款 330TSI DSG 豪华型,一汽大众迈腾变速箱顿挫 厂家不回复,变速器顿挫服务态度厂家不回复,2020-06-21 09:46:31.730,信息审核
486474,长城汽车,2019款 2.0T 柴油 两驱 精英型 国VI 大双 4D20M,长城风骏7发动机无法启动4S店不处理,发动机无法启动服务态度不解决问题服务态度不予索赔,2020-06-21 09:46:31.752,信息审核
486473,东风悦达起亚,2019款 1.4T DCT GT-line智享运动版,东风锐达起亚K3底盘异响要求厂家解决,前后桥及悬挂系统底盘异响前后桥及悬挂系统减震器生锈,2020-06-21 09:46:31.762,信息审核
486471,东风日产,2020款 2.0L XL 舒适版,东风日产天籁车辆跑偏4S店多次维修敷衍了事,前后桥及悬挂系统跑偏服务态度不解决问题人员技术多次返修,2020-06-21 09:46:31.798,信息审核
486468,一汽-大众奥迪,2018款 40 TFSI 荣享进取型 国V,一汽大众奥迪Q5L行驶中变速箱换挡顿挫,变速器异响变速器顿挫服务态度不解决问题人员技术多次返修,2020-06-21 09:46:31.820,信息审核
486466,吉利汽车,2020款 1.8TD DCT 智慧PRO,吉利博越实车没有挡位指示灯与宣传不符,销售欺诈与宣传不符,2020-06-21 09:46:31.833,信息审核
486465,长安马自达,2016款 2.0L 自动 旗舰型 三厢,长安马自达昂克赛拉中控屏幕四周多处开裂,车身附件及电器部件开裂服务态度不予索赔,2020-06-21 09:46:31.850,信息审核
486464,上汽斯柯达,2016款 TSI280 DSG 智行版,上汽斯柯达明锐变速箱故障4S店拒绝保修,变速器故障灯亮变速器电脑板故障服务态度不予索赔,2020-06-21 09:46:31.861,信息审核
486459,吉利汽车,2016款 1.5L 自动 幸福版,吉利远景挂倒挡时不踩油门车辆无法移动,变速器无法加速,2020-06-21 09:46:31.873,信息审核
486442,上汽大众,2012款 1.4TSI 手动 两驱 都会版,上汽大众途观4S店用外采件充当原装配件,配件争议使用非原厂件,2020-06-21 09:46:31.898,信息审核
486400,吉利汽车,2019款 350T 暗夜骑士限量版,吉利星越车机与宣传不符出现死机现象,车身附件及电器车载互联故障销售欺诈与宣传不符,2020-06-21 09:46:31.913,信息审核
486396,一汽-大众,2014款 1.6L 自动 时尚型,一汽大众宝来车内进水4S店找不到原因,车身附件及电器车身漏水,2020-06-21 09:46:31.946,信息审核
486395,广汽本田,2018款 260TURBO 豪华版 国V,广汽本田雅阁电子手刹异响需要尽快处理,制动系统异响制动系统手刹故障,2020-06-21 09:46:31.958,信息审核
486392,吉利汽车,2019款 260T DCT 骑士 国V,吉利缤越门窗漏风 车机版本老旧,车身附件及电器门窗漏风承诺不兑现服务承诺不兑现,2020-06-21 09:46:31.970,信息审核
486391,上汽通用五菱,2019款 1.5L S 舒适型 国VI LAR,上汽通用五菱宏光行驶中突然熄火,发动机熄火,2020-06-21 09:46:31.988,信息审核
486386,东风雪铁龙,2014款 1.6THP 自动 智驱版 劲智型,东风雪铁龙C4L发动机正时链条套件故障,发动机正时链条及齿轮故障,2020-06-21 09:46:31.999,信息审核
486385,星途,2019款 1.6T 星睿版,星途LX发动机与变速箱连接处漏油,发动机漏油变速器漏油,2020-06-21 09:46:32.011,信息审核
486383,吉利汽车,2019款 260T DCT 骑士 国V,吉利缤越门窗漏风 车机版本老旧,车身附件及电器门窗漏风承诺不兑现服务承诺不兑现,2020-06-21 09:46:32.021,信息审核
486379,长安马自达,2017款 2.0L 自动 旗舰型 三厢 国V,长安马自达昂克赛拉后视镜自动折叠功能失灵,车身附件及电器后视镜故障,2020-06-21 09:46:32.031,信息审核
486378,野马汽车,2016款 1.5T 手动 豪华型 升级版,野马T70倒车影像不显示黑屏厂家无配件,车身附件及电器影音系统故障配件争议无零配件,2020-06-21 09:46:32.043,信息审核
486377,广汽讴歌,2019款 1.5T 两驱 尊享版,广汽讴歌CDX变速箱顿挫车顶钢板太软,变速器顿挫其他疑似设计缺陷,2020-06-21 09:46:32.054,信息审核
486376,奇瑞汽车,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5空调制冷效果差存在质量问题,车身附件及电器空调问题,2020-06-21 09:46:32.065,信息审核
486375,广汽本田,2020款 1.5L CVT 先锋版,广汽本田缤智优科豪马轮胎漏气售后不予质保,轮胎胎压偏低,2020-06-21 09:46:32.076,信息审核
486372,上汽通用五菱,2019款 1.5T CVT 智能驾控豪华版 国V,新宝骏RS-5玲珑轮胎龟裂 起皮严重,轮胎开裂轮胎起皮,2020-06-21 09:46:32.087,信息审核
486368,东南汽车,2018款 1.5L 手动 尊贵型,东南DX3离合器异响4S店维修后未解决,离合器异响,2020-06-21 09:46:32.099,信息审核
486361,东风悦达起亚,2019款 1.8L 自动 GLS,东风悦达起亚凯绅后备箱盖生锈严重,车身附件及电器车身生锈,2020-06-21 09:46:32.113,信息审核
486353,吉利汽车,2019款 350T 暗夜骑士限量版,吉利星越车机与宣传不符 中控台异响,车身附件及电器中控台异响销售欺诈与宣传不符,2020-06-21 09:46:32.127,信息审核
486352,长安马自达,2016款 1.5L 自动 豪华型 三厢,长安马自达昂克赛拉中控导航屏幕无故脱胶,车身附件及电器影音系统故障车身附件及电器部件开裂,2020-06-21 09:46:32.139,信息审核
486351,长安汽车,2020款 1.5T 自动 炫色型,长安CS55 PLUS起步3100转换挡 悬挂异响,变速器拖挡前后桥及悬挂系统悬挂故障,2020-06-21 09:46:32.149,信息审核
486350,东风启辰,2019款 十万荣耀 1.6L Entry 手动 辰尚版 国VI,启辰D60后轮眉位置掉漆生锈存在质量问题,车身附件及电器车身生锈车身附件及电器漆面起泡开裂,2020-06-21 09:46:33.244,信息审核
486349,吉利汽车,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越刹车异响变速箱挂挡顿挫严重,变速器顿挫制动系统异响,2020-06-21 09:46:33.259,信息审核
486347,华晨宝马,2017款 320i M 运动型,宝马3系冷却液水管断裂发动机高温报警,发动机漏防冻液发动机冷却系统故障车身附件及电器部件开裂,2020-06-21 09:46:33.269,信息审核
486342,吉利汽车,2018款 1.8TD 自动 两驱 智联型 4G互联版,吉利博越手机APP无法控制车窗及定位,车身附件及电器车载互联故障,2020-06-21 09:46:33.280,信息审核
486341,众泰汽车,2017款 2.0T 自动 极致之梦版,众泰SR9行驶中变速箱异响挂挡无法行驶,变速器异响变速器无法加速,2020-06-21 09:46:33.294,信息审核
486339,上汽大众,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸刹车异响 变速箱异响,变速器异响制动系统异响,2020-06-21 09:46:33.307,信息审核
486336,上汽大众,2018款 280TSI DSG豪华版 两厢 国V,上汽大众朗逸轮毂氧化售后不予质保,车身附件及电器轮毂问题,2020-06-21 09:46:33.319,信息审核
486335,一汽-大众,2019款 380TSI 四驱 R-Line 国VI,一汽大众探岳大灯亮度不够透镜上有指纹,车身附件及电器车灯不亮车身附件及电器雨刮器故障,2020-06-21 09:46:33.330,处理反馈
486332,沃尔沃亚太,2015款 2.0T 智越版 E驱混动,沃尔沃S60新能源召回后空调问题频发,车身附件及电器空调问题,2020-06-21 09:46:33.341,信息审核
